id,created_at,full_text
1238178878226444290,Thu Mar 12 19:03:43 +0000 2020,Testing Flipaclip~ lil mochi ish angry XD
1238169094291165188,Thu Mar 12 18:24:50 +0000 2020,where 's the 'buying restriction ' here ?
1238166471982960641,Thu Mar 12 18:14:25 +0000 2020,You in danger
1238165558278979587,Thu Mar 12 18:10:47 +0000 2020,Kindness goes a long way - Why did she have to rush me ? I was going pretty fast anyway - it was a big shop . I do n't need nasty people putting pressure on me
1238156194562420737,Thu Mar 12 17:33:35 +0000 2020,"Now because of your selfishness and ignorance by hoarding wipes , disinfectants , sanitizers the schools of my kids are running out of cleaning supplies because of people hoarding stuff . Us parents ca n't donate . Where 's your heart ?"
1238153779486302208,Thu Mar 12 17:23:59 +0000 2020,Dear everyone in charge . Follow the Ebola outbreak playbook and learn what worked and what didn ’ t and f # # # # # # do something !
1238152016985231361,Thu Mar 12 17:16:59 +0000 2020,Angry Sea Lion . Via
1238150125521944576,Thu Mar 12 17:09:28 +0000 2020,BREAKING : # Netherlands is NOT going into # lockdown . All schools stay open and events & lt ; 100 people are continued…
1238134473595801604,Thu Mar 12 16:07:16 +0000 2020,Why are there so many bigots on twitter ?
1238130713314107393,Thu Mar 12 15:52:20 +0000 2020,I wrote & amp ; recorded this piece about goddesses for . Raging brown goddesses . Because # southasian culture do…
1238129385259106306,Thu Mar 12 15:47:03 +0000 2020,"I 've Only Met about 3 or 4 People that Understand Me . Everyone else Assumes I 'm Either Angry , Sarcastic , Or Just an Asshole ."
1238129105314381824,Thu Mar 12 15:45:56 +0000 2020,I Do n't Worry About the Haters . They are Just Angry because the Truth I Speak Contradicts The Lies They Live .
1238122308017049600,Thu Mar 12 15:18:56 +0000 2020,BREAKING : # Netherlands is NOT going into # lockdown . All schools stay open and events & lt ; 100 people are continued . A BIG # midlefinger to all Healthcare # heroes working their asses off on flooded ICU 's with too little equipment and no test devices .
1238119902722035712,Thu Mar 12 15:09:22 +0000 2020,I do n't want to hear anything about corona anymore . Dutch Prime Minister just overreacted and banned all events with 10+ people . My weekend is ruined and I 'm 360 euro lighter for nothing .
1238118630602289153,Thu Mar 12 15:04:19 +0000 2020,If only . Republicans will shoulder the blame for casualtiesof this pandemic because they did not stop this ego driven man from protecting our country . ALL to blame . Remove this inept man from office or force him aside to help us get thru this. # Angry
1238103863502278657,Thu Mar 12 14:05:38 +0000 2020,"i am # angry rn , roblox is down RE"
1238103199677960192,Thu Mar 12 14:03:00 +0000 2020,Any politician politicizing efforts to stem the spread of this virus is ... insert your own adjective here .
1238102046571626496,Thu Mar 12 13:58:25 +0000 2020,"🤔👉Most folks can handle “ Hard Truths , ” with a great deal of grace and courage , it is the # untruths , # lies and # indecision t…"
1238097818591662080,Thu Mar 12 13:41:37 +0000 2020,"hey how can I resolve an ongoing issue , where you have agreed I should be paying a certain amount a month due to your error and you still keep charging me the higher amount . I have had to contact you 4 times , each time being told it 's resolved"
1238097810538389510,Thu Mar 12 13:41:35 +0000 2020,"Man Tries To Kick Stray Dog , Gets Unexpected Dose Of Karma # Animals # angry via"
1238091025488334848,Thu Mar 12 13:14:37 +0000 2020,Wan na to get punch ! ?
1238089249070579713,Thu Mar 12 13:07:34 +0000 2020,I wrote & amp ; recorded this piece about goddesses for . Raging brown goddesses . Because # southasian culture does n't allow us space to be angry . And sometimes anger is the only possible emotion ... .
1238075002672513025,Thu Mar 12 12:10:57 +0000 2020,the lefties and # angry # labour # trolls getting all gamony with this # Covid ... never seen # labour this angry dejected and hateful . they are doing a grand job of being in opposition for the next decade
1238073634876358656,Thu Mar 12 12:05:31 +0000 2020,You got ta be some sort of soppy cnut to put your hand in a lions cage ? The last time you tried your wife ’ s handbag should o…
1238072805561962496,Thu Mar 12 12:02:13 +0000 2020,"There are some people who always seem angry and continuously look for conflict . Walk away ; the battle they are fighting is n't with you , it is with themselves ."
1238067300298895360,Thu Mar 12 11:40:21 +0000 2020,"🤔👉Most folks can handle “ Hard Truths , ” with a great deal of grace and courage , it is the # untruths , # lies and # indecision that leave them # confused , # anxious and ultimately # angry with leaders !"
1238064951488655360,Thu Mar 12 11:31:01 +0000 2020,# VPL Simba SC is the first team to score a margin of five goals or more at first half this season . # Angry …
1238047511308374018,Thu Mar 12 10:21:43 +0000 2020,"get you all sad then go for the kill , give me money - I am feeling so # angry - I call it emotional porn"
1238044844683132935,Thu Mar 12 10:11:07 +0000 2020,`` You need to film kittens '' they say ... # Cats # Cat # Kittens # Kitten # Kitty # Pets # Pet # Meow # Moe # CuteCats # CuteCat # CuteKitens # CuteKiten # MeowMoe # Act # Angry # Camera # Cat # CuteCatsVideos # CuteKitensVideos .
1238024464966856704,Thu Mar 12 08:50:08 +0000 2020,"Vasco residents angry at handcarts , taxis occupying parking space . ."
1238023195283918851,Thu Mar 12 08:45:05 +0000 2020,I wrote & amp ; recorded this piece about goddesses for . Raging brown goddesses . Because # southasian culture does n't allow us space to be angry . And sometimes anger is the only possible emotion ... . Link to listen on profile
1238019214075559936,Thu Mar 12 08:29:16 +0000 2020,"So what does this mean if I have to travel tomorrow and I have a Romanian passport ? What is the clear , correct answer ? Not relevant , but I live in Vietnam ... . have not been in Europe since July 2019 . Gr"
1237985232462262274,Thu Mar 12 06:14:14 +0000 2020,# Angry Republican Ran Down On Joe Biden & amp ; Joe Threatened Him ! ! now trending on Monkey Viral -
1237984679094964224,Thu Mar 12 06:12:02 +0000 2020,# Mesh We Are # Angry Because NO ONE Hears Our Cries 😓😓😓 I Have Been Suffering For ( 13 ) Years From The
1237981129069772800,Thu Mar 12 05:57:56 +0000 2020,"You have GTA , and now hase GTF : Grand Theft Fortnite . Stealing money from a 12 year old and not helping him undo an order he never even wanted . # fortnite # angry # sad And so proud of my 12 year old fighting the big guys ."
1237965346801242112,Thu Mar 12 04:55:13 +0000 2020,"Doodle 6 : Smokin ’ Stanley # doodle # dodlesofinstagram # drawingoftheday # artistsoninstagram # artistsofinstagram # drawing # illustration # illustrator # ilustratorofinstagram # mad # angry @ Drumond , Oklahoma"
1237956195974930432,Thu Mar 12 04:18:51 +0000 2020,# angry # noamericanstested He ’ s such a fuc & amp ; $ : ~ ! ! ! !
1237956036008517632,Thu Mar 12 04:18:13 +0000 2020,Justice for this sweet child ! # justiceforevelyn # justice # whathapenedtoevelyn # angry # angrycrying …
1237932560895946755,Thu Mar 12 02:44:56 +0000 2020,Me at the Doak this weekend ✊✊✊✊ # WolfOfWalstret # ImNotFuckingLeaving # Angry via
1237926194651299840,Thu Mar 12 02:19:39 +0000 2020,"I don ’ t know what sucks more , the fact that I got scamed or the fact I wasted time working for a scam and passed up good jobs ... ."
1237913167558254593,Thu Mar 12 01:27:53 +0000 2020,"YOU have a Problem ! • ~The # angry will get defensive😤 ~The # insecure will agre😔 ~The # inquisitive will say , “ Who me ? ” 😳 ~The # confident will know I ’ m not talking to them😏 ~The # carefree will not even read the…"
1237901433132982274,Thu Mar 12 00:41:15 +0000 2020,Do n't you just love it when someone judges you for eating !
1237899683973890049,Thu Mar 12 00:34:18 +0000 2020,"Gov't 's Economy created a system to further discriminate those struggling . # Poverty never has a `` good '' credit rating . These are numbers based on performance . I 've had to make sacrifices , and choices in # poverty . # ODSP is NOT enough to survive on ."
1237888216427974664,Wed Mar 11 23:48:44 +0000 2020,So I ca n't watch it in California at all ?
1237887310177251329,Wed Mar 11 23:45:08 +0000 2020,🔴 Practice self-compasion through anger .
1237883928192507905,Wed Mar 11 23:31:41 +0000 2020,"As promised Tacisha ( Original ) Lineart Done , Next Day i want to Colorize her : )"
1237880795726901254,Wed Mar 11 23:19:15 +0000 2020,"Your staff member then told me I was being rude ! Please get your priorities right , and please give your staff some training in manners and civility . What an awful experience ."
1237878025376563202,Wed Mar 11 23:08:14 +0000 2020,No I DO N'T WAN NA FREAKING WATCH ONWARD OK ? ! ? !
1237872980165685256,Wed Mar 11 22:48:11 +0000 2020,# PedoJoe ca n't control his temper - gets # Angry # Insults # Swears at Americans when asked a simple question ? 😳 sta…
1237867305922486273,Wed Mar 11 22:25:38 +0000 2020,really angry as A12 # hatfieldpeverel north jct closed at 9.5pm & amp ; not at 10pm.Finished my meeting early so could use the jct instead made to goes miles round country roads
1237865208745353216,Wed Mar 11 22:17:18 +0000 2020,# PedoJoe ca n't control his temper - gets # Angry # Insults # Swears at Americans when asked a simple question ? 😳 states that he does not work for Americans ?
1237839564120580096,Wed Mar 11 20:35:24 +0000 2020,This Country needs to act now and stop pissing about with people 's lives
1237838427745181698,Wed Mar 11 20:30:53 +0000 2020,Angry child 💢😠 . . .
1237829188704505858,Wed Mar 11 19:54:10 +0000 2020,are the worst ! Don ’ t help or care at all that they ’ ve returned my laptop with a new fault each time.…
1237828181639471108,Wed Mar 11 19:50:10 +0000 2020,are the worst ! Don ’ t help or care at all that they ’ ve returned my laptop with a new fault each time .
1237814179454685186,Wed Mar 11 18:54:32 +0000 2020,The angery bois .
1237803542372630533,Wed Mar 11 18:12:16 +0000 2020,"Activities for # Angry , # Worried Kids"
1237796211781963778,Wed Mar 11 17:43:08 +0000 2020,Ran out of Oreos so that ’ s my day so far
1237793294484193280,Wed Mar 11 17:31:33 +0000 2020,Conan the Barbarian # CONAN # ConanTheBarbarian # barbarianface # Marvelfanart # fantasy # RobertEHoward # Feral # angry https : …
1237793085683159040,Wed Mar 11 17:30:43 +0000 2020,That guy sounds fun to be around ...
