id,created_at,full_text
1238176714288750592,Thu Mar 12 18:55:07 +0000 2020,Check out our new Instagram page ! Full of updates and information !
1238174684220358657,Thu Mar 12 18:47:03 +0000 2020,"Amazing art to see and buy at the Borders Art Fair . We are open Friday 10-4 , Saturday 10-5 , Sunday 10-4 . Looking forwar…"
1238170716392087556,Thu Mar 12 18:31:17 +0000 2020,"We ’ re super excited to be at # BCYoungReporterFestival today , learning all about journalism . First up , a session with …"
1238170472912695297,Thu Mar 12 18:30:19 +0000 2020,"All Dressed UP ... for PROM March 26th •Ingersol Senior Centre ( 250 Ingersol St S ) •4:0pm - 8:30pm •Formal dresses , shoes , purses , accessories , alternations available… all FREE ! ! ! See CASS Guidance for more details Oxford OP & amp ; Wodstock Police Services"
1238169384562163713,Thu Mar 12 18:26:00 +0000 2020,"so my sister is starts high school in September , # exciting # shesogrownup was looking at bits and pieces for her , new grown up bits and pieces . apparently boys last summer laughed at her for having floral pants so she will only wear black now 😔😔 # kids my sister is 11 soon 🤦🏼‍♀️"
1238166467381792769,Thu Mar 12 18:14:24 +0000 2020,"On Thursday , year 10 students had the # exciting opportunity to experience an engaging adaptation of # DrJekylandMrHyde . T…"
1238162676578242562,Thu Mar 12 17:59:20 +0000 2020,Time to think about the future ! It ’ s Year 9 # optionsevening tonight . 11th March . Join us for a presentation in the main hall at 6pm-6.15pm & amp ; market place to talk to subject teachers about course information & amp ; option choices
1238157248494317568,Thu Mar 12 17:37:46 +0000 2020,Autoglas man is here to fix dad ’ s windscreen ... .Aaro
1238151703054225408,Thu Mar 12 17:15:44 +0000 2020,Here 's a little colage- sneak preview of my new gluten free orange & amp ; passion fruit chocolate chip sponges . Baked with melts & amp ; organic cocoa powder . See what they transform into tomorrow for our Mothers Day showcase ! 😄😋🤔
1238143392955142144,Thu Mar 12 16:42:43 +0000 2020,"Mountains & amp ; Clouds , B.C . Canada"
1238141486748688384,Thu Mar 12 16:35:08 +0000 2020,I remember the first time I put up a scaffolding ? I climbed up it and was immediately frozen ! My instructor had to climb up and get me down . By the time I was done with the trades related apprenticeship coaching ? I was eating lunch up higher than anything . 🙂
1238139518626041857,Thu Mar 12 16:27:19 +0000 2020,# batbalwithmg # coronavirus # cricketnews # indvsa # odi # series # 1stmatch # cancelled # hardikpandya # shikhardhawan # rohitsharma # ipl # exciting # sachintendulkar # virendrasehwag # fascinatingfact # sachintendulkar # doublecentury # australianwoman - New video ! ✨
1238138526191017987,Thu Mar 12 16:23:22 +0000 2020,On route to the three year course showcase
1238136717502226432,Thu Mar 12 16:16:11 +0000 2020,👶🏼Mother to be 💗 The perfect gift to receive for expecting mother ’ s to relax & amp ; ease away aches & amp ; pains from the body . Gift vouchers available💗
