id,created_at,full_text
1238181989146075137,Thu Mar 12 19:16:05 +0000 2020,I see # panic & amp ; # fear in even conservatives now Begging for -central planning -comand/control -govt healthcare -govt w…
1238181980988223489,Thu Mar 12 19:16:03 +0000 2020,You know what I # Fear ? # FodHandlers Especially those fruits & amp ; veggie stands.. they ’ re the worst . More people fondle n caress that produce w/out marrying it than they do to each other . Half the time the mountain pile of apples is rolling into a puddle ! darn 5 second rule😔
1238181510668152833,Thu Mar 12 19:14:11 +0000 2020,# Fear is a result of the lies we tell ourselves . # Love is a result of living in truth .
1238180819581038592,Thu Mar 12 19:11:26 +0000 2020,"I am so disappointed in the media , but what is more disappointing is have fallen in to the # MediaDrivenFear blackhole I ca n't even watch the hysteria You do n't give two sides to the # CoronaVirus it 's just # FEAR # DATH hey"
1238180721237413889,Thu Mar 12 19:11:02 +0000 2020,"Like many of us , # anxiety and # fear is a real battle for me right now . This prayer from Alain Chapman ’ s book , The Resilien…"
1238180150682025984,Thu Mar 12 19:08:46 +0000 2020,The Upside and Downside of
1238179989675220995,Thu Mar 12 19:08:08 +0000 2020,"# Fear and sentiment around the # coronavirus is playing a key role in market reactions . Dr Richard Peterson , CEO of …"
1238179209190821894,Thu Mar 12 19:05:02 +0000 2020,# NYC # Psychotherapy Blog : How Your # Fear and # Shame Can Lead to # Avoidance in
1238178554267009025,Thu Mar 12 19:02:26 +0000 2020,# anxiety # epidemic # SocialDistancing triggered by # fear re : # CoronavirusPandemic don ’ t miss this important discussion wh…
1238178386926866432,Thu Mar 12 19:01:46 +0000 2020,"Most coronavirus patients recover , still anxiety , # fear loom - Mar 12 @ 2:59 PM ET"
1238178227035811843,Thu Mar 12 19:01:08 +0000 2020,# Fear greed index hit all time lows - can it go negative : - ) ? $ SPX $ VIX # DAX $ SPX currently at 250
1238178046626213891,Thu Mar 12 19:00:25 +0000 2020,The Biggest Obstacle to # Success for Every # BusinesOwners –
1238177990539988993,Thu Mar 12 19:00:11 +0000 2020,"IDEAVIRUS : The worse thing we have to fear , besides the re-election of greedy , arrogant incompetents , is fear . Most of us will not get the Coronavirus , and of those who do get it , they will survive . Yes , it is serious but your # fear is probably much worse than"
1238177846683553792,Thu Mar 12 18:59:37 +0000 2020,"Where there is reverence there is fear , but there is not reveren ..."
1238177840438431744,Thu Mar 12 18:59:36 +0000 2020,Target superstore almost empty # cold and # flu aisle right now 2:45pm thursday
1238177299255697416,Thu Mar 12 18:57:27 +0000 2020,"Panic is a groundless fear . Be smart , do n't walk in fear . # CoronavirusOutbreak I command you to bow down to the name of Jesus , the name above all names ! I give you no authority over my life !"
1238177228057427968,Thu Mar 12 18:57:10 +0000 2020,"Timely , Insightful & amp ; Useful -- Do Not Panic ! A key insight : `` What ’ s particularly ironic is that frightened people are mor…"
1238176168773332995,Thu Mar 12 18:52:57 +0000 2020,Pensive after the # boklaunch . Is the # fear of # association or something else ?
1238175641544970240,Thu Mar 12 18:50:51 +0000 2020,Only by providing # clarity on # NRC with the details on the process to be followed can the flames of # fear be extinguished . M…
1238175594199777292,Thu Mar 12 18:50:40 +0000 2020,"I ’ ve always hated the feeling of # fear . The fear of panicking , swety palms , anxiety , terror and mind all over the place . The # newsoutlets & amp ; # socialmedia feed this monster daily . Yup , I hate this feeling . Can ’ t live in that space . Time to unplug again . 💯 # Dip"
1238175305027575809,Thu Mar 12 18:49:31 +0000 2020,"Do we test every single American for measles ? How about the flu ? How about Hepatitis ? Nope , we test when there are symptoms . Joe is trying to spread # fear because that is all they have left , there is NO step 5"
1238175259314053120,Thu Mar 12 18:49:20 +0000 2020,Needed words from Franklin D. Roosevelt about a different crisis .
1238174283484008449,Thu Mar 12 18:45:28 +0000 2020,Something to think about
1238173894982479877,Thu Mar 12 18:43:55 +0000 2020,"Like many of us , # anxiety and # fear is a real battle for me right now . This prayer from Alain Chapman ’ s book , The Resilient Disciple , is something to cling to . Thought I ’ d share . Hope it helps ."
1238173806729949184,Thu Mar 12 18:43:34 +0000 2020,# westnile # sars # ebola # birdflu # swineflu # mediaterorism # coronavirus # zika # fear # scaretactic # discusionsoftruth - DONA…
1238173696579104768,Thu Mar 12 18:43:08 +0000 2020,# Fear is the # tax that conscience pays to guilt . George Sewel
1238173318500540417,Thu Mar 12 18:41:37 +0000 2020,Need help managing emotions ? ? Of course you do ! We all do ! ! Here are some tips .
1238172307652296704,Thu Mar 12 18:37:36 +0000 2020,We managed to release this little beastly from our shop . I DO N'T DO SPIDERS .
1238171646432694273,Thu Mar 12 18:34:59 +0000 2020,we promote # LOVE not # fear ♥️ @ SALON Love
1238171568729133061,Thu Mar 12 18:34:40 +0000 2020,"God has not given us a `` Spirit of Fear '' Fear is the Devil 's Playground , Do not camp in his corner ! ! Blessings , Pastor Cindy🕊"
1238170980343840768,Thu Mar 12 18:32:20 +0000 2020,Uncontrolled fear leads to irrational behaviour .
1238170935254904832,Thu Mar 12 18:32:09 +0000 2020,# CoronaVirus had a lot ple n # fear for their lives . Afraid to leave their homes Taking extreme measures to not catch it As for me I am not terrified by it Though I am concerned abt the well-being of others Check ur minds & amp ; be aware . Dad 's shared this words .
1238169442619658250,Thu Mar 12 18:26:13 +0000 2020,"Foolish # French # Europeans who baned # hijab & amp ; nikab ( head & amp ; face covering ) , now all want to wear it in # Fear of the # virus . R they going to ignore their # law or realise their prejudices or remain foolish ?"
