id,created_at,full_text
1.2382E+18,Thu Mar 12 20:29:26 +0000 2020,March Madness just cancelled - it ’ s a guarantee now .
1.2382E+18,Thu Mar 12 20:28:50 +0000 2020,i hate to make generalizations but i think all college students are # depressed and # sad the the # CoronavirusPandemic cancelled our
1.2382E+18,Thu Mar 12 20:28:42 +0000 2020,might have the # COVID19 ... . 
1.2382E+18,Thu Mar 12 20:28:30 +0000 2020,"# BREAKING : In a STINGING dissenting opinion , # SupremeCourt Justice # Sotomayor CALLED OUT her 5 Conservative colleagues for es…"
1.2382E+18,Thu Mar 12 20:28:01 +0000 2020,No March Madness 
1.2382E+18,Thu Mar 12 20:27:14 +0000 2020,"These people were racists before the virus and they will be racists after the virus , unles the virus ends them . People ( ignorant ) behaving badly . Showing their true colors . "
1.2382E+18,Thu Mar 12 20:27:04 +0000 2020,And like that in the afternoon 😢😔😱 
1.2382E+18,Thu Mar 12 20:27:01 +0000 2020,There goes my bracket ! The tourney hasn ’ t started and I already lost . 
1.2382E+18,Thu Mar 12 20:26:58 +0000 2020,Acosta is pathetic . Clearly our enemy . That is his legacy . Oh and getting smacked…
1.2382E+18,Thu Mar 12 20:26:56 +0000 2020,"# Sad # Reggae fact The late Vaughn Benjamin ... who was without a doubt one of the most important & amp ; prolific # Roots reggae artists of this century as lead singer of the band , # Midnite and later as a solo artist ... . ONLY PERFORMED ONCE IN # JAMAICA ONCE !"
1.2382E+18,Thu Mar 12 20:26:36 +0000 2020,"# BREAKING : Turns out the same day # Bar became AG , he INSTALLED HIS DAUGHTER at # Mnuchin 's Treasury where she among other thi…"
1.2382E+18,Thu Mar 12 20:26:04 +0000 2020,clearly deluded and taking advantage of the same kind 
1.2382E+18,Thu Mar 12 20:22:58 +0000 2020,You really suck at being president . 
1.2382E+18,Thu Mar 12 20:22:38 +0000 2020,# DiaperDon stepped in his own shit .
1.2382E+18,Thu Mar 12 20:21:51 +0000 2020,"I ’ m just waiting to see which one of these two comes down with the coronavirus before this debate . If allowed to happen , …"
1.2382E+18,Thu Mar 12 20:20:57 +0000 2020,"# pay to try to become ... And been # moderated or # censured ... Approbation en atente # rocknrol # guitare too ? Even with no tag # bad # sad U wait 4hours , searchin what u could break down ? Blast this try and I a track you in court "
1.2382E+18,Thu Mar 12 20:20:36 +0000 2020,I will only be listening to Khalid indefinitely 
1.2382E+18,Thu Mar 12 20:19:20 +0000 2020,Not allowed to go to the ofice.. 
1.2382E+18,Thu Mar 12 20:18:25 +0000 2020,"# france # censure ... Pas le fils de # Gainsbourg Approbation en atente # rocknrol # guitare too ? Even with no tag # bad # sad U wait 4hours , searchin what u could break down ? Blast this try and I a track you in court "
1.2382E+18,Thu Mar 12 20:16:56 +0000 2020,Just sad 
1.2382E+18,Thu Mar 12 20:14:43 +0000 2020,I am truly disappointed in those posting negativity toward the PM and Sophie . They represent us well and should be respected . The Trump/Con effect has taken hold in our country . 
1.2382E+18,Thu Mar 12 20:13:46 +0000 2020,"So # MegynKely , who while at # FoxNews , was VERY COMFORTABLE with `` # Trump being Trump '' ( ie LIES ) , is now FREAKING OU…"
1.2382E+18,Thu Mar 12 20:12:40 +0000 2020,All the # Ethiopian generals who committed genocide in the Somali region/Ogaden are free or promoted . # sad .
1.2382E+18,Thu Mar 12 20:11:50 +0000 2020,Trumpian balwasher 
1.2382E+18,Thu Mar 12 20:10:39 +0000 2020,Rewatching Jason ’ s szn of # TheBachelor on Netflix..like why can ’ t have poorly dressed girls age 26 and up who ’ s dream is to marry a single dad from Seattle with zero instagram clout as a bonus ? Where did the integrity of this show go ? 
1.2382E+18,Thu Mar 12 20:08:58 +0000 2020,Really “ Did I stutter ” ? Ur a classic bully would ur like ur daughter to be treated the way u treat and talk to the other woman ? 
1.2382E+18,Thu Mar 12 20:08:46 +0000 2020,God help them if they need # Help from US 
1.2382E+18,Thu Mar 12 20:08:12 +0000 2020,With what ? Our last-place testing capabilities ? 
1.2382E+18,Thu Mar 12 20:08:09 +0000 2020,"Trump 's demeanor is one of a proud blob , his sniffing or snorting is disturbing to say the…"
1.23819E+18,Thu Mar 12 20:06:56 +0000 2020,"Everyone fucks China , yeah me too . # Sadly , not everyone can distinguish the difference from an Asian faces between # Japanese , # Korean , # Taiwanese , # Hongkonger , etc . We are all fucked up by China , said by an Asian face . So , "
1.23819E+18,Thu Mar 12 20:06:18 +0000 2020,the kids that graduated high school the summer of 2016 ( the best summer ever ) have to graduate college in 2020. it 's all about balance . # StockMarketCrash2020 # CoronavirusPandemic
1.23819E+18,Thu Mar 12 20:02:49 +0000 2020,"those who now meet every day , but someday meet will be dificult😢 "
1.23819E+18,Thu Mar 12 20:02:02 +0000 2020,I am so bummed MLB is canceling the rest of Spring Training AND delaying opening day . 
1.23819E+18,Thu Mar 12 20:01:41 +0000 2020,"They only read what he tweets . They do n't even watch/listen to what he says on actual videos . They know , subconsciously , that they will be disappointed . "
1.23819E+18,Thu Mar 12 19:55:57 +0000 2020,BREAKING NEWS ! 🗣 2020 has been Cancelled . 😷😩 
1.23819E+18,Thu Mar 12 19:55:07 +0000 2020,Been home all day.. 🌌 🌌 🌌
1.23819E+18,Thu Mar 12 19:54:36 +0000 2020,"# Sad , but true ."
1.23819E+18,Thu Mar 12 19:54:30 +0000 2020,Lets here some ! 
