id,created_at,full_text
1238178679089434626,Thu Mar 12 19:02:55 +0000 2020,Congratulations to this week 's # WOW winners Well done ladies !
1238178638652211203,Thu Mar 12 19:02:46 +0000 2020,🌪🚽 Taking # Portable to a whole new level ! 🌪🚽
1238178248380551174,Thu Mar 12 19:01:13 +0000 2020,What Goglers think of our Kelewele ice cream🙌🏾 • • •
1238178030285185025,Thu Mar 12 19:00:21 +0000 2020,# Thursday is the new # friday yeah nearly # spring Gorgeous # designer # handbags handcrafted by Italian artisans luxury l…
1238177942116712454,Thu Mar 12 19:00:00 +0000 2020,DID YOU KNOW ? Gyms and Coronavirus
1238177703028830210,Thu Mar 12 18:59:03 +0000 2020,🍃 I love being in my Taylor Made HQ 🙌
1238177699912470529,Thu Mar 12 18:59:02 +0000 2020,"EVERYONE will DEFINITELY be and CHILLING for the next month . The positive about this whole situation is it will allow us human beings to REFLECT on family and life , and realize the little things matter # StayCalm # 2020 # Wow # ThisToShalPas # WashYourHandsConstantly 🌍👍🏽"
1238177153478344704,Thu Mar 12 18:56:52 +0000 2020,So your telling me I was fucking dancing with bitches at flyer parties with a noz balloon in my right hand to this dude ! ?
1238177040026742786,Thu Mar 12 18:56:25 +0000 2020,Well done ladies ! Welcome to the # WOW family ! Xx
1238177008364015621,Thu Mar 12 18:56:17 +0000 2020,Amazing to be announced as one of this weeks winners of # WOW recognition ... . super proud 🖤 thank you https : /…
1238176699671511040,Thu Mar 12 18:55:04 +0000 2020,"Welcome to the # wow family , following you all now"
1238175770088013830,Thu Mar 12 18:51:22 +0000 2020,Amazing to be announced as one of this weeks winners of # WOW recognition ... . super proud 🖤 thank you
1238175744058101760,Thu Mar 12 18:51:16 +0000 2020,# Wow . Week of Webinars . # jctEnglish – Reconecting With # Reading– Exploring # Graphic And # AudioTexts In
1238175686625501184,Thu Mar 12 18:51:02 +0000 2020,Start to finish 👀
1238175620942577665,Thu Mar 12 18:50:46 +0000 2020,# WOW 😍😍😍 Thanks .
1238174876713783296,Thu Mar 12 18:47:49 +0000 2020,# warcraft # Wow # troll few old doodles from 2019 with my troll
1238174793905700864,Thu Mar 12 18:47:29 +0000 2020,EV startup Bolinger targets commercial industry with its # new chassis via
1238174506113552384,Thu Mar 12 18:46:21 +0000 2020,Afternoon Cloudy Sky☁️ March 2020 Photo By : Joseph Hil🙂📸☁️
1238174459032252416,Thu Mar 12 18:46:09 +0000 2020,A commissioned piece made for a WoW player
1238174218652614661,Thu Mar 12 18:45:12 +0000 2020,"Our # Gaming # Coasters ; # Buffing +50 # Intellect , +35 # Mastery & amp ; +10 # Hydration . # 3Dprinted to order in our # Etsy store ( MARCH2020=15 % off )"
1238173193157906432,Thu Mar 12 18:41:08 +0000 2020,Today ’ s stream was dope ! See you all tomorrow !
1238172393358721024,Thu Mar 12 18:37:57 +0000 2020,♡ 𝘂𝘄𝘂 𝘃𝘀 . 𝗼𝘄𝗼 ♡ looks uwu but is actually owo : Chan looks owo but is actually uwu : Junhe looks uwu and is uwu : Donghun…
1238171825571393536,Thu Mar 12 18:35:41 +0000 2020,Check out our amazing deals in Calgary ! Prices that will make you go wow ! Come into any of our three stores or check out our website
1238171721020178435,Thu Mar 12 18:35:17 +0000 2020,It ’ s true the camera adds 10lbs ! 😱🙈🙈😂😂😂 ( promise ! ) Everyone who knows me knows that I HATE having my photo taken but nice to have a little spot in the Cambrian News all the same 😁 # localbusines # imfamous 🙈 # smalbusinesowner
1238171318861746176,Thu Mar 12 18:33:41 +0000 2020,Me and my daughter oh 14-ish years ago- I ’ m on the left
1238171048371159051,Thu Mar 12 18:32:36 +0000 2020,We recognize the incredible women in our industry and at Sunovion who strive every day to support patients worldwide .
1238171029593358336,Thu Mar 12 18:32:32 +0000 2020,loved # yehbalet amazing acting music and choreography.. what an inspiring story
1238170931073294344,Thu Mar 12 18:32:08 +0000 2020,“ 35 % fewer calories than sugared gum ”
1238170867558948864,Thu Mar 12 18:31:53 +0000 2020,Well done # WOW winners 👏
1238170685131968514,Thu Mar 12 18:31:10 +0000 2020,Finished portrait of Pixi ! # vulpera # worldofwarcraft # wow # warcraft # art # digitalart # cute # photoshop # furry …
1238169910003535872,Thu Mar 12 18:28:05 +0000 2020,This is what weight training should look like _
1238169749701439488,Thu Mar 12 18:27:27 +0000 2020,Helow furry world
